ds,units_sold,price_per_unit_dzd,sales_dzd,promotion,temperature_c,inventory_level
2024-03-18,260.0,100,26000.0,0,12.0,512.0
2024-03-19,266.0,100,26600.0,0,11.5,477.0
2024-03-20,239.0,100,23900.0,0,14.1,458.0
2024-03-21,263.0,100,26300.0,0,11.2,542.0
2024-03-22,276.0,100,27600.0,0,13.6,457.0
2024-03-23,296.0,100,29600.0,0,14.7,504.0
2024-03-24,269.0,100,26900.0,0,16.1,476.0
2024-03-25,267.0,100,26700.0,0,17.1,524.0
2024-03-26,269.0,100,26900.0,0,14.0,517.0
2024-03-27,291.0,100,29100.0,0,13.9,552.0
2024-03-28,293.0,100,29300.0,0,20.1,474.0
2024-03-29,280.0,100,28000.0,0,18.9,487.0
2024-03-30,294.0,100,29400.0,0,17.5,451.0
2024-03-31,350.0,100,35000.0,1,22.8,478.0
2024-04-01,309.0,100,30900.0,0,20.6,519.0
2024-04-02,289.0,100,28900.0,0,23.4,538.0
2024-04-03,294.0,100,29400.0,0,21.9,454.0
2024-04-04,301.0,100,30100.0,0,26.5,543.0
2024-04-05,287.0,100,28700.0,0,26.6,568.0
2024-04-06,309.0,100,30900.0,0,23.2,521.0
2024-04-07,315.0,100,31500.0,0,26.3,594.0
2024-04-08,312.0,100,31200.0,0,26.3,461.0
2024-04-09,313.0,100,31300.0,0,28.3,438.0
2024-04-10,290.0,100,29000.0,0,24.2,411.0
2024-04-11,312.0,100,31200.0,0,28.0,575.0
2024-04-12,316.0,100,31600.0,0,29.3,533.0
2024-04-13,302.0,100,30200.0,0,24.1,497.0
2024-04-14,315.0,100,31500.0,0,25.7,514.0
2024-04-15,371.0,100,37100.0,1,24.4,444.0
2024-04-16,351.0,100,35100.0,0,28.3,622.0
2024-04-17,329.0,100,32900.0,0,30.5,506.0
2024-04-18,334.0,100,33400.0,0,32.4,505.0
2024-04-19,325.0,100,32500.0,0,29.7,536.0
2024-04-20,303.0,100,30300.0,0,33.0,524.0
2024-04-21,323.0,100,32300.0,0,27.1,511.0
2024-04-22,323.0,100,32300.0,0,26.6,460.0
2024-04-23,364.0,100,36400.0,0,29.9,524.0
2024-04-24,326.0,100,32600.0,0,30.7,594.0
2024-04-25,332.0,100,33200.0,0,29.9,567.0
2024-04-26,320.0,100,32000.0,0,25.7,580.0
2024-04-27,308.0,100,30800.0,0,29.5,474.0
2024-04-28,339.0,100,33900.0,0,26.8,451.0
2024-04-29,338.0,100,33800.0,0,30.5,494.0
2024-04-30,368.0,100,36800.0,1,29.6,503.0
2024-05-01,306.0,100,30600.0,0,26.7,555.0
2024-05-02,341.0,100,34100.0,0,27.1,415.0
2024-05-03,295.0,100,29500.0,0,25.6,576.0
2024-05-04,327.0,100,32700.0,0,27.2,492.0
2024-05-05,352.0,100,35200.0,0,28.7,479.0
2024-05-06,297.0,100,29700.0,0,24.3,449.0
2024-05-07,305.0,100,30500.0,0,26.7,417.0
2024-05-08,310.0,100,31000.0,0,24.1,541.0
2024-05-09,298.0,100,29800.0,0,22.9,504.0
2024-05-10,283.0,100,28300.0,0,23.7,436.0
2024-05-11,302.0,100,30200.0,0,21.2,435.0
2024-05-12,284.0,100,28400.0,0,21.5,483.0
2024-05-13,303.0,100,30300.0,0,19.5,583.0
2024-05-14,289.0,100,28900.0,0,25.1,487.0
2024-05-15,348.0,100,34800.0,1,20.6,425.0
2024-05-16,278.0,100,27800.0,0,18.4,488.0
2024-05-17,285.0,100,28500.0,0,19.6,486.0
2024-05-18,299.0,100,29900.0,0,18.2,365.0
2024-05-19,266.0,100,26600.0,0,17.3,497.0
2024-05-20,288.0,100,28800.0,0,18.3,488.0
2024-05-21,302.0,100,30200.0,0,18.0,535.0
2024-05-22,252.0,100,25200.0,0,14.7,592.0
2024-05-23,277.0,100,27700.0,0,14.0,556.0
2024-05-24,277.0,100,27700.0,0,14.0,487.0
2024-05-25,276.0,100,27600.0,0,9.4,445.0
2024-05-26,247.0,100,24700.0,0,10.4,629.0
2024-05-27,252.0,100,25200.0,0,15.7,503.0
2024-05-28,279.0,100,27900.0,0,15.8,501.0
2024-05-29,268.0,100,26800.0,0,11.5,499.0
2024-05-30,310.0,100,31000.0,1,12.8,510.0
2024-05-31,268.0,100,26800.0,0,11.9,493.0
2024-06-01,260.0,100,26000.0,0,17.1,471.0
2024-06-02,267.0,100,26700.0,0,12.9,473.0
2024-06-03,263.0,100,26300.0,0,10.2,498.0
2024-06-04,245.0,100,24500.0,0,8.4,473.0
2024-06-05,281.0,100,28100.0,0,6.9,464.0
2024-06-06,265.0,100,26500.0,0,10.5,505.0
2024-06-07,237.0,100,23700.0,0,8.5,487.0
2024-06-08,263.0,100,26300.0,0,7.2,575.0
2024-06-09,241.0,100,24100.0,0,8.8,367.0
2024-06-10,267.0,100,26700.0,0,8.0,555.0
2024-06-11,281.0,100,28100.0,0,13.7,562.0
2024-06-12,250.0,100,25000.0,0,12.3,396.0
2024-06-13,275.0,100,27500.0,0,10.7,483.0
2024-06-14,338.0,100,33800.0,1,14.0,481.0
2024-06-15,275.0,100,27500.0,0,11.5,430.0
2024-06-16,289.0,100,28900.0,0,10.0,461.0
2024-06-17,266.0,100,26600.0,0,15.2,444.0
2024-06-18,257.0,100,25700.0,0,13.7,588.0
2024-06-19,252.0,100,25200.0,0,11.0,547.0
2024-06-20,257.0,100,25700.0,0,13.2,564.0
2024-06-21,268.0,100,26800.0,0,12.4,536.0
2024-06-22,275.0,100,27500.0,0,12.0,444.0
2024-06-23,283.0,100,28300.0,0,17.2,474.0
2024-06-24,296.0,100,29600.0,0,19.8,524.0
2024-06-25,277.0,100,27700.0,0,13.8,439.0
2024-06-26,306.0,100,30600.0,0,18.4,536.0
2024-06-27,279.0,100,27900.0,0,16.6,488.0
2024-06-28,327.0,100,32700.0,0,17.6,481.0
2024-06-29,339.0,100,33900.0,1,18.1,536.0
2024-06-30,277.0,100,27700.0,0,18.3,522.0
